Country,Code,co2,inde_pib,expo_tec,inv,gdpppa
Rumania,ROU,3.51615369125659,0.3825,3439802540,906.68599,20623.3534779122
Federación de Rusia,RUS,11.8575277737052,1.07011,9842669327,3094.46811,25797.4985295115
Rwanda,RWA,0.074016445670242,,6554503,,1725.92571586938
Arabia Saudita,SAU,19.5292717983416,,254366095,,52790.303158099
Sudán,SDN,0.299732598319775,,,,4425.74767733883
Senegal,SEN,0.608809117433519,,9962862,,2988.74075124581
Singapur,SGP,10.306331909983,2.15996,137369116389,6729.67978,85489.4955837889
Islas Salomón,SLB,0.350449345269538,,,,2260.84029090864
Sierra Leona,SLE,0.184925701657908,,7244,,1788.05997028736
El Salvador,SLV,1.00064462317564,0.09381,188547,,7281.3191063885
San Marino,SMR,,,,,59819.2443551261
Somalia,SOM,0.045046723093289,,,,
Serbia,SRB,5.28252191688301,0.76972,338934666,1830.99247,13771.4181933026
Sudán del Sur,SSD,0.129749350683477,,,,2045.6133855208
África al sur del Sahara,SSF,0.840453498292605,,,,3711.94505099771
Santo Tomé y Príncipe,STP,0.594339819936633,,2266,,3067.23053851733
Suriname,SUR,3.6340194332102,,10156828,,16174.2088503763
República Eslovaca,SVK,5.66158132774424,0.88008,7706617343,2713.53423,28927.6687644359
Eslovenia,SVN,6.21368684468327,2.3667,1479152863,4140.33885,30854.0994056602
Suecia,SWE,4.47818217821374,3.14587,16562389622,6877.94549,46572.4559903105
Eswatini,SWZ,0.92871499200446,,1110514,,8317.13128343876
Sint Maarten (Dutch part),SXM,19.4613241342709,,,,35547.7010183597
Seychelles,SYC,5.41867796276229,,638020,,25594.1030764322
República Árabe Siria,SYR,1.59889845852933,,,,
Islas Turcas y Caicos,TCA,6.08648744776075,,,,
Chad,TCD,0.053777687771594,,,,2194.36347800739
Togo,TGO,0.362696891580548,0.27166,530152,37.56995,1485.32722917843
Tailandia,THA,4.62186003163084,0.47988,34992376969,964.16417,15699.3732087582
Tayikistán,TJK,0.620466724741697,0.11468,,,2690.67247339863
Turkmenistán,TKM,12.5172953406189,,,,15144.78601488
Timor-Leste,TLS,0.387014002147073,,,,6617.84319600818
Tonga,TON,1.14396589211775,,24663,,5316.84441646958
Trinidad y Tobago,TTO,34.1632426302683,0.08297,6194339,,32949.3411772488
Túnez,TUN,2.58705958448329,0.65484,706923421,1800.984,11377.3491705601
Turquía,TUR,4.49147902571948,0.86077,2346682136,1163.91706,24029.7449353041
Tuvalu,TUV,1.00852585258526,,,,3338.57934835421
Tanzanía,TZA,0.221347372384527,,22713535,,2563.64350300754
Uganda,UGA,0.134656000985545,0.17043,10556376,26.46695,1730.08288744974
Ucrania,UKR,5.02074706440171,0.65034,1921996739,1029.13044,8710.74911220337
Uruguay,URY,1.97315082177576,0.33579,171097517,504.16049,20951.4768022785
Estados Unidos,USA,16.502837239406,2.73394,155640595588,4255.03081,55032.9594615469
Uzbekistán,UZB,3.42072274584901,0.19644,,500.03905,5675.30961695442
San Vicente y las Granadinas,VCT,1.91134540998747,,14703,,10898.3937559973
Venezuela,VEN,6.02569758235129,0.33713,,266.50723,17694.2019740173
Islas Vírgenes Británicas,VGB,6.07283358118156,,,,
Viet Nam,VNM,1.80356574966869,,30863791585,,5563.26124072624
Vanuatu,VUT,0.594993239327796,,,,3056.29198858549
Mundo,WLD,4.9701551571304,2.12052136841178,2150002017342,,15305.5909166211
Samoa,WSM,1.02978834052733,,365039,,5835.10403314512
Kosovo,XKX,,,,,9198.41788232078
"Yemen, Rep. del",YEM,0.864834534752234,,1219706,,3980.32479498799
Sudáfrica,ZAF,8.98011929723466,0.77115,2520225514,432.19812,13092.0173372256
Zambia,ZMB,0.288271141095299,,19026361,,3838.40971725456
Zimbabwe,ZWE,0.779955845162839,,11721077,,2334.93507680508
